Record_ID,Timestamp,Latitude,Longitude,Road_ID,Vehicle_Count,Avg_Speed(km/h),Vehicle_Type,Traffic_Density,Weather,Visibility(m),Road_Condition,Accident_Occurred,Accident_Severity,Alert_Generated,temperature,humidity
1,03-10-2023 09:50,32.00471402,76.97196097,RD-285,419,90,Mixed,Medium,Fog,5663,Under Maintenance,Yes,Major,Yes,31.24,61.12
2,09-06-2019 08:01,10.63273152,77.82865203,RD-384,232,104,Mixed,Very High,Rain,896,Wet,No,-,No,48.52,33.07
3,08-01-2020 01:38,12.25816513,88.81018932,RD-282,339,100,Bus,Medium,Storm,9369,Under Maintenance,No,-,No,41.96,43.97
4,18-10-2022 05:43,34.28995023,95.41525335,RD-128,74,63,Car,Low,Clear,2510,Slippery,Yes,Fatal,No,37.96,59.52
5,29-06-2023 23:11,31.69899297,77.67548589,RD-49,187,73,Mixed,Low,Storm,3447,Wet,No,-,No,24.68,48.61
6,02-03-2020 15:55,30.47145511,89.65525914,RD-237,186,45,Car,Medium,Snow,8988,Wet,No,-,Yes,24.68,40.91
7,24-12-2021 18:54,26.0953018,95.7416618,RD-53,41,116,Bike,Medium,Clear,5567,Wet,No,-,Yes,21.74,60.25
8,19-07-2021 16:37,16.4810515,70.83698156,RD-412,348,72,Car,Medium,Storm,1814,Under Maintenance,No,-,No,45.99,49.37
9,29-12-2022 09:36,35.10881155,83.34685653,RD-407,74,52,Truck,High,Storm,4515,Under Maintenance,No,-,No,38.03,45.49
10,10-10-2018 12:24,22.26419583,68.32376572,RD-72,35,65,Truck,Low,Fog,2851,Wet,No,-,No,41.24,57.84
11,27-08-2018 23:43,16.1379664,91.93016289,RD-63,206,9,Bus,Low,Snow,662,Slippery,No,-,No,20.62,38
12,13-03-2018 00:20,18.60166359,76.31983034,RD-7,419,11,Truck,Low,Clear,828,Wet,No,-,No,49.1,85.66
13,26-11-2020 00:13,8.488389441,77.65025732,RD-32,239,79,Bike,Low,Clear,1442,Slippery,No,-,No,44.97,82.06
14,26-09-2020 07:28,15.39961279,87.93132121,RD-426,74,107,Car,High,Clear,6256,Dry,No,-,No,26.37,72.46
15,07-04-2019 03:14,13.45072715,90.88621461,RD-400,487,10,Car,Low,Rain,6931,Dry,No,-,No,25.45,36.37
16,18-10-2023 15:12,11.93114262,79.59971728,RD-114,250,33,Mixed,Very High,Clear,5510,Dry,No,-,Yes,25.5,76.55
17,18-03-2018 23:53,8.932059802,87.30008196,RD-67,405,55,Mixed,Medium,Rain,7462,Slippery,No,-,Yes,29.13,78.48
18,28-05-2022 21:12,14.57938786,95.73427793,RD-102,493,85,Mixed,Low,Fog,3274,Under Maintenance,No,-,No,35.74,76.07
19,31-08-2023 12:39,11.00204282,93.72016657,RD-422,301,32,Car,Medium,Rain,5632,Slippery,No,-,No,32.96,36.84
20,12-04-2018 22:53,9.309070968,88.33752916,RD-206,161,61,Car,Low,Snow,2445,Slippery,No,-,No,28.74,68.63
21,19-03-2019 08:49,11.98234551,95.34885279,RD-191,435,67,Mixed,High,Rain,5979,Dry,No,-,Yes,38.36,80.06
22,30-03-2019 22:44,13.86969754,93.4022034,RD-352,320,42,Car,High,Snow,3450,Wet,No,-,No,24.18,64.64
23,22-03-2023 01:16,20.06290743,89.14126312,RD-323,192,87,Bike,Very High,Snow,3951,Slippery,No,-,Yes,28.76,68.78
24,09-02-2021 05:12,24.9271749,94.60018501,RD-481,98,53,Mixed,High,Snow,2824,Dry,No,-,No,30.99,57.5
25,29-03-2020 09:37,17.34571001,91.70432346,RD-331,273,112,Truck,High,Snow,4564,Slippery,No,-,Yes,33.68,61.72
26,26-01-2023 05:49,12.09652305,82.56536885,RD-44,469,16,Mixed,High,Clear,665,Under Maintenance,No,-,No,43.56,32.06
27,07-11-2023 02:57,35.26939105,82.56617519,RD-299,198,49,Truck,Low,Snow,699,Slippery,No,-,No,25.99,68.34
28,03-10-2018 15:45,22.93075765,68.25493292,RD-301,36,106,Bus,Medium,Storm,2171,Dry,No,-,No,35.43,34.89
29,17-08-2022 05:26,29.51452965,68.87724229,RD-133,260,87,Truck,Very High,Fog,8915,Slippery,No,-,No,37.77,56.1
30,04-01-2019 08:40,28.1386191,89.64060025,RD-470,469,101,Bike,Medium,Storm,9075,Slippery,No,-,No,21.39,47.56
31,10-05-2021 13:02,16.26200596,84.0882981,RD-417,200,49,Car,Very High,Clear,3553,Slippery,No,-,No,38.23,62.73
32,14-09-2022 05:46,24.23599584,90.06778547,RD-39,137,9,Bike,Very High,Snow,4081,Dry,No,-,No,25.12,38
33,24-04-2020 17:59,25.46275936,95.54022176,RD-12,425,69,Bus,Low,Rain,867,Dry,No,-,No,21.95,71.5
34,04-11-2023 09:23,18.2019397,81.12338901,RD-34,325,39,Bike,Medium,Clear,7072,Slippery,No,-,No,48.47,77.7
35,30-09-2021 15:55,27.4522304,70.56492243,RD-102,428,39,Bike,Medium,Fog,8860,Dry,No,-,No,48.97,39.8
36,23-05-2020 03:48,30.92961999,86.17022383,RD-463,153,115,Bus,Medium,Rain,5111,Slippery,No,-,No,44.25,36.26
37,14-02-2022 20:16,18.56210597,70.89228056,RD-331,429,115,Bike,Very High,Rain,3705,Slippery,No,-,No,29.14,38.73
38,09-07-2020 05:39,8.432545775,86.01778674,RD-228,321,35,Bus,Very High,Snow,4536,Slippery,No,-,No,22.93,82.63
39,03-07-2019 16:02,18.13074219,83.30442647,RD-415,167,40,Car,Very High,Fog,1490,Slippery,No,-,No,40.53,61.69
40,05-11-2023 04:04,11.3876525,88.65429602,RD-66,238,44,Mixed,Low,Fog,9360,Wet,No,-,No,33.2,58.04
41,10-04-2021 01:22,12.51262879,78.17782716,RD-48,390,103,Car,Very High,Rain,3772,Wet,No,-,No,23.66,36.4
42,01-12-2023 17:38,18.61253483,72.17199223,RD-464,41,44,Car,Low,Fog,8171,Under Maintenance,No,-,No,34.86,68.97
43,18-06-2018 06:55,14.02101185,74.85010437,RD-434,88,65,Car,Medium,Storm,6840,Slippery,No,-,No,21.03,82.08
44,14-02-2022 19:57,35.11177965,87.82539613,RD-425,286,16,Bike,Low,Snow,8431,Slippery,No,-,Yes,47.28,79.69
45,08-12-2018 23:37,26.93128475,81.86680189,RD-415,65,86,Car,High,Snow,4184,Dry,No,-,No,27.76,67.56
46,02-08-2022 00:41,23.03256062,83.68370694,RD-170,433,96,Bus,High,Storm,7148,Slippery,No,-,No,39.88,34.52
47,20-02-2022 08:22,8.282005938,77.36695425,RD-63,358,17,Bus,Medium,Storm,888,Dry,No,-,No,29.35,36.74
48,22-08-2018 22:39,11.00491455,92.26436288,RD-22,63,34,Bus,High,Fog,8060,Under Maintenance,No,-,Yes,35.6,32.96
49,04-05-2019 14:13,30.86585755,96.98419731,RD-483,423,44,Bus,Very High,Rain,6707,Wet,No,-,No,36.4,45.45
50,02-10-2022 02:12,19.30256913,77.05397714,RD-237,482,21,Car,High,Fog,7990,Wet,No,-,No,25.55,38.14
51,05-06-2018 12:01,9.319302687,88.84089674,RD-26,29,77,Truck,Low,Storm,4108,Dry,No,-,Yes,49.09,45.6
52,14-01-2019 01:21,31.94121372,72.96190708,RD-87,211,107,Mixed,Very High,Snow,8017,Slippery,Yes,Fatal,No,43.25,53.1
53,03-04-2021 22:43,16.77673438,89.53052615,RD-474,232,26,Truck,High,Snow,432,Dry,No,-,Yes,48.18,86.58
54,01-05-2023 06:54,19.20257304,80.49468976,RD-294,138,60,Bike,Medium,Snow,2550,Under Maintenance,No,-,No,46.84,66.62
55,16-03-2018 11:44,36.25670305,85.55386502,RD-222,339,66,Car,High,Fog,3991,Wet,No,-,No,37.94,80.1
56,16-02-2022 22:12,8.44986949,74.8892583,RD-421,155,61,Truck,Very High,Storm,8290,Slippery,Yes,Minor,No,47.66,72.62
57,04-10-2023 00:34,28.9184074,92.69804532,RD-371,378,19,Car,High,Rain,3303,Slippery,No,-,No,22.65,36.75
58,09-12-2018 09:12,35.51764111,73.02672393,RD-203,237,97,Bus,High,Fog,5631,Slippery,No,-,No,25.88,74.16
